"","title","company","location","rating","province","pay","job"
"920","newanalyst, business - computer systems","NU Ventures Solutions Ltd.","Edmonton, AB",NA,"AB",100825,"Data Analyst"
"921","Senior Content Analyst","Staples Canada","remote",3.6,"remote",NA,"Data Analyst"
"922","Senior Analyst, Data Management and Delivery","JLL","Toronto, ON",3.7,"ON",NA,"Data Analyst"
"923","TML Data Analyst","Acuren Group Inc.","Fort McMurray, AB",3.3,"AB",NA,"Data Analyst"
"924","computer systems analyst","CIT Corp","Concord, ON",3.8,"ON",74000,"Data Analyst"
"925","Process Automation/Data Analyst","Sanofi US","Toronto, ON",4.1,"ON",NA,"Data Analyst"
"926","newEHS Analyst","AltaLink","Calgary, AB",4,"AB",NA,"Data Analyst"
"927","Sr. Business Program Analyst","TD Bank","Toronto, ON",3.8,"ON",NA,"Data Analyst"
"928","Data Analyst","University of Saskatchewan","remote",4.2,"remote",82138,"Data Analyst"
"929","Sourcing Analyst","Spin Master Ltd","Toronto, ON",3.4,"ON",NA,"Data Analyst"
"930","Data Scientist Sr. Analyst - Mississauga-AVP/C12","Citi","Mississauga, ON",3.9,"ON",NA,"Data Analyst"
"931","Kinaxis Supply Chain Business Analyst","FAHM Technology Partners","remote",NA,"remote",NA,"Data Analyst"
"932","Business Operations Analyst","Healthcare of Ontario Pension Plan (HOOPP)","remote",3.8,"remote",NA,"Data Analyst"
"933","newData Analyst (ON)","Tiger Analytics","remote",NA,"remote",NA,"Data Analyst"
"934","Data Analyst","Maverin Inc.","remote",NA,"remote",75000,"Data Analyst"
"935","Analyst, People Analytics","West Park Healthcare Centre","Toronto, ON",3.6,"ON",NA,"Data Analyst"
"936","Senior Data Analyst - Remote","League Inc.","remote",NA,"remote",NA,"Data Analyst"
"937","Business System Analyst","BMO Financial Group","Toronto, ON",3.8,"ON",NA,"Data Analyst"
"938","ERP Business System Analyst","Geotab","remote",2.7,"remote",NA,"Data Analyst"
"939","Business Analyst I","TELUS","Vancouver, BC+1 location",3.9,"ON",NA,"Data Analyst"
"940","Digital Analyst","StackPros Inc.","Toronto, ON",3,"ON",NA,"Data Analyst"
"941","newSales Operations Analyst","Tier1 Financial Solutions","remote",3.8,"remote",NA,"Data Analyst"
"942","Business Analyst (Store Systems) - Data & Integration","Pet Valu","Markham, ON",3.3,"ON",NA,"Data Analyst"
"943","Quality Assurance Analyst","Red River Mutual","Winnipeg, MB",4,"MB",NA,"Data Analyst"
"944","Analyste de données | Data Analyst, Genuine","Autodesk","Montréal, QC",4.1,"QC",NA,"Data Analyst"
"945","Project Analyst / Business Analyst (Remote Anywhere Canada o...","Change Healthcare","remote",3,"remote",NA,"Data Analyst"
"946","Business System Analyst","TELUS","Toronto, ON",3.9,"ON",NA,"Data Analyst"
"947","newBusiness Analyst (Entry Level) - Cabela's Corporate","Bass Pro Shops & Cabela’s","Winnipeg, MB",3.5,"MB",NA,"Data Analyst"
"948","Business Analyst","Ingram Micro Inc.","Mississauga, ON",3.7,"ON",67500,"Data Analyst"
"949","newBusiness Analyst (data integration)","Dawn InfoTek Inc.","Toronto, ON",NA,"ON",87875,"Data Analyst"
"950","HR Data Analyst","Ledcor","Vancouver, BC+2 locations",3.7,"NS",NA,"Data Analyst"
"951","Underwriting Analyst - Property Operations","AIG","Toronto, ON",3.7,"ON",NA,"Data Analyst"
"952","newAnalyst, Pharmaceuticals","Canadian Institute for Health Information","Toronto, ON",3.8,"ON",NA,"Data Analyst"
"953","newBusiness Analyst","Veriday Inc.","Toronto, ON",3.5,"ON",NA,"Data Analyst"
"954","newSr. Business Systems Analyst","CIBC","remote",3.8,"remote",NA,"Data Analyst"
"955","Data Analyst (Business Intelligence Coordinator)","Western University","London, ON",4.3,"ON",NA,"Data Analyst"
"956","newBusiness Systems Analyst II","CI Financial","remote",3.1,"remote",NA,"Data Analyst"
"957","Business Development Analyst (Paid Internship)","Avesdo","remote",4.3,"remote",29600,"Data Analyst"
"958","newDigital Analyst","War Room Holdings","Vancouver, BC",NA,"BC",NA,"Data Analyst"
"959","Sales Operations & Implementation Analyst (Mississauga, Cana...","Philips","remote",4,"remote",NA,"Data Analyst"
"960","Analyst, Gas Control & Cash Trader","Tidewater Midstream & Infrastructure Ltd","Calgary, AB",NA,"AB",NA,"Data Analyst"
"961","Senior Data Analyst","CryptoKitties","Vancouver, BC",NA,"BC",NA,"Data Analyst"
"962","newBanking Business Process Analyst","CGI","Toronto, ON",3.6,"ON",NA,"Data Analyst"
"963","Senior Data Analyst","Ratehub","Toronto, ON",NA,"ON",NA,"Data Analyst"
"964","Business Technical Analyst (BTA) - Consulting - Systems Engi...","Deloitte","Canada",4,"DA",NA,"Data Analyst"
"965","newSenior Business Systems Analyst","Canada Life Assurance Company","London, ON",3.7,"ON",NA,"Data Analyst"
"966","Data Analyst - Information and Systems","SRYAS INC.","Toronto, ON",NA,"ON",90000,"Data Analyst"
"967","newSenior Data Science Analyst","BCAA","Canada",3.9,"DA",NA,"Data Analyst"
"968","newOptimization Analyst","MEVOTECH","Mississauga, ON",3.3,"ON",NA,"Data Analyst"
"969","newBusiness Analyst, Planning & Performance Reporting","Teksavvy Solutions Inc.","Toronto, ON+2 locations",3.5,"NS",NA,"Data Analyst"
"970","newITSM Analyst","Extendicare Canada","Markham, ON",3.3,"ON",NA,"Data Analyst"
"971","Data Science/Sr. Analyst (Officer and AVP openings)","Citi","Mississauga, ON",3.9,"ON",NA,"Data Analyst"
"972","Insights Analyst","Home Hardware Stores Limited","St. Jacobs, ON",3.8,"ON",NA,"Data Analyst"
"973","Business Analyst (intern)","Islamic Family and Social Services Association","remote",NA,"remote",31450,"Data Analyst"
"974","Senior Business Analyst Consultant","RightCrowd Software, Inc","Kitchener-Waterloo, ON",NA,"ON",97500,"Data Analyst"
"975","Business Intelligence Engineer","Temple Insurance Company","Toronto, ON",NA,"ON",NA,"Data Analyst"
"976","Business Systems Analyst, Reporting","Hudson's Bay","Toronto, ON",3.5,"ON",NA,"Data Analyst"
"977","newBUSINESS ANALYST","Boardwalk","Calgary, AB",3,"AB",NA,"Data Analyst"
"978","newBudget Analyst","Innovapost","Toronto, ON",3.6,"ON",NA,"Data Analyst"
"979","Senior Data Governance Analyst","Rogers Communications","remote",3.7,"remote",NA,"Data Analyst"
"980","newBusiness Analyst - Web3 (FT)","Kitco Metals Inc","remote",3.7,"remote",NA,"Data Analyst"
"981","Member Growth Analyst","Girl Guides of Canada-Guides du Canada","remote",4.5,"remote",55231,"Data Analyst"
"982","Data Analyst (Growth-Marketing)","Game Hive Corporation","Toronto, ON",NA,"ON",NA,"Data Analyst"
"983","Business and Contract Analyst","Vancouver Coastal Health","Vancouver, BC",3.7,"BC",62900,"Data Analyst"
"984","AltaGas - EAM Data Analyst","AltaGas","Calgary, AB",3.5,"AB",NA,"Data Analyst"
"985","Business Analyst - 1 Year Contract","Scotiabank","Toronto, ON",3.9,"ON",NA,"Data Analyst"
"986","Sr. Data Analyst","Fusion Analytics","Canada",NA,"DA",NA,"Data Analyst"
"987","newIT Analyst","DEG Services","Vaughan, ON",4,"ON",NA,"Data Analyst"
"988","Business Intelligence Analyst","Echelon Insurance","Mississauga, ON",3,"ON",NA,"Data Analyst"
"989","Business Analyst: Neurodiversity Hiring Initiative","Specialisterne Canada","remote",NA,"remote",NA,"Data Analyst"
"990","Business Intelligence Specialist","Canadian Security Intelligence Service","Ottawa, ON",4.4,"ON",93150,"Data Analyst"
"991","Business Analyst","Foxquilt","remote",NA,"remote",NA,"Data Analyst"
"992","newBusiness Analyst & Hardware Coordinator","Teksavvy Solutions Inc.","Chatham-Kent, ON",3.5,"ON",NA,"Data Analyst"
"993","Customer Service Logistics Analyst / Replenishment Analyst","Procter & Gamble","remote",4.1,"remote",NA,"Data Analyst"
"994","Actuarial Analyst","Ontario Mutual","Waterloo, ON",NA,"ON",NA,"Data Analyst"
"995","newSenior Financial Data Analyst","TS Imagine","Montréal, QC",NA,"QC",NA,"Data Analyst"
"996","newSystems Analyst","HarperCollins Publishers","Toronto, ON",3.9,"ON",NA,"Data Analyst"
"997","Data Analyst","CBRE","Victoria, BC",3.7,"BC",NA,"Data Analyst"
"998","newProgrammer Analyst","Spark Power Corp","Oakville, ON",2.8,"ON",NA,"Data Analyst"
"999","newSenior Business Analyst - Services Analytics","Angi","remote",NA,"remote",NA,"Data Analyst"
"1000","Business Analyst","Avmax Careers - Canada","Calgary, AB",2.8,"AB",NA,"Data Analyst"
"1001","Customer Experience Analyst","CWD (Circus World Displays)","Niagara Falls, ON",3.2,"ON",NA,"Data Analyst"
"1002","business systems analyst","Save Max Real Estate Inc.","Mississauga, ON",NA,"ON",74000,"Data Analyst"
"1003","newClient Performance Analyst, Business Performance and Metrics","CIBC Mellon","Toronto, ON",3.8,"ON",NA,"Data Analyst"
"1004","Senior Data Quality Assurance Analyst","Intact","Toronto, ON+1 location",3.8,"ON",NA,"Data Analyst"
"1005","Business Analyst (FBO)","Skyservice Business Aviation","Mississauga, ON",3.6,"ON",NA,"Data Analyst"
"1006","Business Intelligence Business Analyst","8x8, Inc.","remote",NA,"remote",NA,"Data Analyst"
"1007","Business Analyst","SpringGage","Toronto, ON",NA,"ON",NA,"Data Analyst"
"1008","IT Asset Management Analyst","Foresters Financial Services, Inc.","remote",3.4,"remote",NA,"Data Analyst"
"1009","Health Records Data Analyst - Health Records","Scarborough Health Network","Toronto, ON",4,"ON",NA,"Data Analyst"
"1010","newBusiness Analyst - Limited Term","Ontario Tech University","Ontario",4.4,"IO",NA,"Data Analyst"
"1011","Analyst - Business Intelligence","TD Bank","Toronto, ON",3.8,"ON",NA,"Data Analyst"
"1012","newBusiness Analyst","Soho Square Solutions","Montréal, QC",NA,"QC",111000,"Data Analyst"
"1013","newAccounting Analyst","Hypertec Administration Inc.","remote",NA,"remote",NA,"Data Analyst"
"1014","Senior Data Analyst","Trupanion","remote",NA,"remote",NA,"Data Analyst"
"1015","Business Information Analyst","Illumiti","Canada",3.6,"DA",NA,"Data Analyst"
"1016","PMO Analyst","BGRS","remote",3.4,"remote",NA,"Data Analyst"
"1017","Data Enablement Analyst","ARC Resources Ltd","Calgary, AB",3.9,"AB",NA,"Data Analyst"
"1018","Senior Business Analyst","TD Bank","Toronto, ON",3.8,"ON",NA,"Data Analyst"
"1019","newIT Computer Systems Analyst 2022 - Remote","Canadian Musicians Co-operative","remote",4.3,"remote",NA,"Data Analyst"
"1020","Digital Insights Analyst","GreenPeace","remote",NA,"remote",53399,"Data Analyst"
"1021","Business Analyst, Growth Marketing","TextNow","Canada",NA,"DA",NA,"Data Analyst"
"1022","newSales Business Performance Analyst - Pet Nutrition","MARS","Bolton, ON",3.8,"ON",NA,"Data Analyst"
"1023","Senior Business Intelligence Analyst","Kognitiv Corporation","Toronto, ON",NA,"ON",NA,"Data Analyst"
"1024","Senior Analyst, Fraud Analytics (Data Analyst)","Central 1 Credit Union","remote",2.8,"remote",NA,"Data Analyst"
"1025","Business/Data Analyst (data governance)","Dawn InfoTek Inc.","Toronto, ON",NA,"ON",120250,"Data Analyst"
"1026","Graduate Trainee Assistant Analyst - GTA","Kinectrics","Greater Toronto Area, ON",3.4,"ON",NA,"Data Analyst"
"1027","Business Data Analyst - Financial Services, Omnia AI","Deloitte","Ontario",4,"IO",NA,"Data Analyst"
"1028","ST-Analyst, Marketing, 4-12 months, 8+ months preferred","Apotex Inc.","North York, ON",3.9,"ON",NA,"Data Analyst"
"1029","Cyber fraud analyst","Ubisoft","Montréal, QC",3.8,"QC",NA,"Data Analyst"
"1030","Data Analyst – Airport Traffic and Forecast","ACI World","Montréal, QC",NA,"QC",NA,"Data Analyst"
"1031","newBusiness Analyst","Alert Driving","North York, ON",3,"ON",NA,"Data Analyst"
"1032","Analyst Revenue Management - Pricing","Porter Airlines Inc.","Toronto, ON",3.5,"ON",NA,"Data Analyst"
"1033","Operations Analyst","Orion Health","Toronto, ON",3.2,"ON",NA,"Data Analyst"
"1034","Credit Analyst (12 Month Contract)","Credit Sesame","Toronto, ON",NA,"ON",NA,"Data Analyst"
"1035","Business Systems Analyst I","PortfolioAid Inc.","Toronto, ON",3,"ON",60000,"Data Analyst"
"1036","Data Warehouse Application Support Analyst","CAA Club Group","Thornhill, ON",2.9,"ON",NA,"Data Analyst"
"1037","newPolicy Analyst","Government of Yukon","Whitehorse, YT",3.8,"YT",NA,"Data Analyst"
"1038","Business Analyst","Penny AI","Vancouver, BC",NA,"BC",80000,"Data Analyst"
"1039","Business Analyst","Carlton One Engagement","Markham, ON",NA,"ON",72500,"Data Analyst"
"1040","Information Management Analyst","Community Living Toronto","Toronto, ON",NA,"ON",76410.5,"Data Analyst"
"1041","newStrategic Analyst","City of Edmonton","Edmonton, AB",3.7,"AB",120250,"Data Analyst"
"1042","Analytics and Reporting Specialist - Resiliency (Power BI)","BMO Financial Group","Toronto, ON",3.8,"ON",NA,"Data Analyst"
"1043","Data Analyst","University of Victoria","Victoria, BC",4.2,"BC",71610.5,"Data Analyst"
"1044","IT (information technology) business analyst","KAYZEN CLOUD SOLUTIONS","Mississauga, ON",NA,"ON",93425,"Data Analyst"
"1045","Sr. Business Process Analyst","Canadian Tire Corporation","Toronto, ON",3.6,"ON",NA,"Data Analyst"
"1046","Business Analyst","Motoinsight","Toronto, ON",4.5,"ON",NA,"Data Analyst"
"1047","Logistics Business Analyst","Transplace","Oakville, ON",3.5,"ON",NA,"Data Analyst"
"1048","Physical Security Analyst","BMO Financial Group","Toronto, ON",3.8,"ON",NA,"Data Analyst"
"1049","newFarm Income Analyst","Government of Saskatchewan","Regina, SK",3.8,"SK",74000,"Data Analyst"
"1050","Business Data Analyst","Société Générale","Montréal, QC",3.8,"QC",NA,"Data Analyst"
"1051","Market Data Operation and Engineering Analyst","Royal Bank of Canada","Toronto, ON",4,"ON",NA,"Data Analyst"
"1052","Quality Control Analyst","IVC Vita Health","Winnipeg, MB",NA,"MB",39775,"Data Analyst"
"1053","Business Data Analyst","Healthcare of Ontario Pension Plan (HOOPP)","remote",3.8,"remote",NA,"Data Analyst"
"1054","Business Analyst - ETL, Data","AstraNorth","remote",NA,"remote",110000,"Data Analyst"
"1055","Senior Business Analyst","Deloitte","Toronto, ON",4,"ON",NA,"Data Analyst"
"1056","Facilities Analyst","Healthcare of Ontario Pension Plan (HOOPP)","remote",3.8,"remote",NA,"Data Analyst"
"1057","Business Intelligence Analyst - Contractor (1year)","TELUS","remote",3.9,"remote",NA,"Data Analyst"
"1058","IAM BA analyst","AstraNorth","Toronto, ON+2 locations",NA,"NS",65000,"Data Analyst"
"1059","newNew Flyer - IT Business Analyst","NFI","Winnipeg, MB",NA,"MB",NA,"Data Analyst"
"1060","Business Analyst - BPM/Process Automation","CAPCO","Toronto, ON",3.4,"ON",NA,"Data Analyst"
"1061","GBM Onboarding Analyst - Fall 2022 Internship","Scotiabank","Toronto, ON",3.9,"ON",NA,"Data Analyst"
"1062","HR Business Analyst - Hybrid Working Opportunity","McMaster University","remote",4.3,"remote",NA,"Data Analyst"
"1063","newSenior Analyst, Managed Account Solutions","National Bank of Canada","Toronto, ON",3.9,"ON",NA,"Data Analyst"
"1064","Consultant, Business Intelligence","CIBC","remote",3.8,"remote",NA,"Data Analyst"
"1065","Reinsurance Analyst (TAI)","RGA","Toronto, ON",3.7,"ON",NA,"Data Analyst"
"1066","Process and Business Analyst (Insurance)","BMO Financial Group","Toronto, ON",3.8,"ON",NA,"Data Analyst"
"1067","Senior Business Systems Analyst, Data and Analytics","BMO Financial Group","Toronto, ON",3.8,"ON",NA,"Data Analyst"
"1068","Business Analyst","MSi Corp (Bell Canada)","Toronto, ON+2 locations",3.6,"NS",NA,"Data Analyst"
"1069","Power BI Developer","PlanIT Search","Toronto, ON",2.8,"ON",91500,"Data Analyst"
"1070","Market Data Analyst","eTeam Inc.","Mississauga, ON",NA,"ON",NA,"Data Analyst"
"1071","newJr Procurement Analyst (FT)","Equation Staffing Solutions.","Winnipeg, MB",4.7,"MB",NA,"Data Analyst"
"1072","Global Portfolio & Data Support Analyst","Invesco","Toronto, ON",3.9,"ON",NA,"Data Analyst"
"1073","Sr. Product Analyst","Canadian Tire Corporation","Toronto, ON",3.6,"ON",NA,"Data Analyst"
"1074","Environmental Policy Analyst - Air Quality","Fraser Valley Regional District","Chilliwack, BC",NA,"BC",102675,"Data Analyst"
"1075","Analyst, ESG Reporting","Triovest Realty Advisors Inc.","remote",3.7,"remote",NA,"Data Analyst"
"1076","newJunior IT Analyst","PHSA","Vancouver, BC",3.1,"BC",NA,"Data Analyst"
"1077","Business Analyst","Innovapost","Ottawa, ON",3.6,"ON",NA,"Data Analyst"
"1078","newLabour Market Information Analyst","Workforce Development Board","remote",NA,"remote",24050,"Data Analyst"
"1079","newSupply Chain Analyst- 6 Month Contract","Griffith Foods","Toronto, ON",3.8,"ON",NA,"Data Analyst"
"1080","Communications and Change Analyst, Data in Action","Canadian Tire Corporation","Toronto, ON",3.6,"ON",NA,"Data Analyst"
"1081","Senior Business Analyst - MBC","Martin Brower","Mississauga, ON",3.4,"ON",NA,"Data Analyst"
"1082","newIT Business Analyst - Data/Process Mapping","Procom","Toronto, ON",3.6,"ON",NA,"Data Analyst"
"1083","Senior Billing Analyst - Toronto","Randstad","remote",3.7,"remote",NA,"Data Analyst"
"1084","Business Analyst","SS&S Consulting Inc.","Edmonton, AB",NA,"AB",63943,"Data Analyst"
"1085","Data Loss Prevention Analyst, Markham - Markham","Randstad","Markham, ON",3.7,"ON",NA,"Data Analyst"
"1086","Data Management - Data Analyst III - Calgary","Randstad","Calgary, AB",3.7,"AB",NA,"Data Analyst"
"1087","Business System Analyst / Analyste affaires et de systèmes i...","Psycho Bunny","Montréal, QC",3.3,"QC",NA,"Data Analyst"
"1088","newAviation Maintenance Analyst","CAMP Systems International","Saint-Laurent, QC+1 location",NA,"ON",NA,"Data Analyst"
"1089","newBusiness Intelligence Analyst - Top Pay","Human Capital Department","Surrey, BC",NA,"BC",NA,"Data Analyst"
"1090","Business Analyst II (Intermediate)","Best Buy","Burnaby, BC",3.8,"BC",NA,"Data Analyst"
"1091","Business Systems Analyst","Rural Municipalities of Alberta (RMA)","Nisku, AB",NA,"AB",NA,"Data Analyst"
"1092","Sr Salesforce Business Systems Analyst","Canada Life Assurance Company","Toronto, ON",3.7,"ON",NA,"Data Analyst"
"1093","Client Relationship Analyst","Connor, Clark & Lunn Financial Group","Vancouver, BC+1 location",2.9,"ON",NA,"Data Analyst"
"1094","Analyst, Technology","Lowe's Canada","Boucherville, QC",3.5,"QC",NA,"Data Analyst"
"1095","Functional Analyst - Verdun","Randstad","Verdun, QC",3.7,"QC",NA,"Data Analyst"
"1096","Database Developer/Analyst","Canaccord Genuity Corp.","Toronto, ON+1 location",3.6,"ON",NA,"Data Analyst"
"1097","newBusiness Analyst, Supply Chain, Channel Management","The Home Depot Canada","Toronto, ON",3.7,"ON",NA,"Data Analyst"
"1098","newSenior Analyst, Business Performance","Amica Senior Lifestyles","remote",3.2,"remote",NA,"Data Analyst"
"1099","Systems and Inventory Control Analyst","Traffic Tech Inc.","Mississauga, ON",3.1,"ON",NA,"Data Analyst"
"1100","Business Information Systems Analyst","Bourgault Industries","St. Brieux, SK",3.8,"SK",NA,"Data Analyst"
"1101","newAviation Maintenance Analyst","Aston Carter","Saint-Laurent, QC",3.3,"QC",52725,"Data Analyst"
"1102","Business Analyst - Branch Exit Reporting","Aston Carter","Toronto, ON",3.3,"ON",NA,"Data Analyst"
"1103","Information System Analyst – Sage X3","Panni Management and Tech Corp","remote",NA,"remote",75000,"Data Analyst"
"1104","newBusiness Systems Analyst / Software Tester - Victoria","Randstad","remote",3.7,"remote",NA,"Data Analyst"
"1105","Senior Sytems Analyst - Implementation Specialist","Procom","remote",3.6,"remote",NA,"Data Analyst"
"1106","Intermediate Business Analyst, HR SW & Reporting","Procom","Toronto, ON",3.6,"ON",NA,"Data Analyst"
"1107","newBusiness Analyst (Trading, Capital Markets, UX/UI Design, Ag...","Teamrecruiter.com","Toronto, ON",NA,"ON",NA,"Data Analyst"
"1108","Infrastructure Business Analyst","TES - The Employment Solution","Regina, SK",3.6,"SK",NA,"Data Analyst"
"1109","newSenior Business Analyst","Procom","Toronto, ON",3.6,"ON",NA,"Data Analyst"
"1110","newProject Manager Business Intelligence - North York","Randstad","North York, ON",3.7,"ON",NA,"Data Analyst"
